Green Chemistry;"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nanotechnology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;C12N;A61P;C07K;C12Q;B82Y;H01L;C01B;B01J;A61L;A61B;C02F;B01D;C08G;C07H;C08J;G03F;A61N;C07D;A01N;C09K;G02B;B29C;C08L;B01L;C07C;C12M;C23C;A23L;C04B;H01M;C07F;B22F;C08F;C08K;C09D;C12P;G06F;A61M;B33Y;C01G;H01B;B32B;C25B;D01F;G06N;H01G;B81C;C25D; 
Nomero;237;147;130;87;62;62;48;48;39;34;33;26;26;24;24;23;22;18;17;17;16;16;16;15;14;12;12;12;12;11;11;11;10;9;9;9;9;9;9;8;8;8;8;7;7;7;7;7;6;6;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;C12N;B82Y;H01L;C07K;C12Q;A61P;C01B;B01J;A61L;A61B;C08G;C09K;C02F;B01D;C01G;C08J;C09D;C23C;B22F;C07H;C08L;A61N;C07D;H01G;C12M;C25B;G02B;H01M;B01L;C07C;A01N;C08K;C12P;C04B;B29C;B82B;H01B;G06F;A61M;B32B;C30B;D01F;B05D;B81C;C08B;C08F;G03F;G06N; 
Nomero;247;159;113;78;72;71;69;61;47;40;33;32;31;25;24;21;21;21;21;21;18;18;18;17;17;17;16;16;16;16;15;14;13;13;13;12;11;11;11;10;9;9;9;9;8;8;8;8;8;8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;C12N;B82Y;H01L;C07K;C12Q;A61P;B01J;A61L;C01B;C09K;C08G;C02F;A61B;C07D;C07H;C09D;C23C;B29C;B01D;C08L;A61N;C01G;C08J;H01M;B22F;H01G;A01N;B01L;H01B;B32B;C07C;G06F;A61M;C08F;C08K;G02B;H05K;B05D;C30B;A61F;C07F;B82B;C25D;C04B;C12M;C12P;D01F;G03F; 
Nomero;239;143;106;91;70;67;65;44;42;41;41;33;30;29;26;26;26;26;26;21;20;20;19;19;18;18;17;17;16;16;16;15;15;15;14;14;14;13;13;12;12;11;11;10;10;9;9;9;9;9;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;C12N;C12Q;B82Y;H01L;C07K;A61P;C01B;A61L;B01J;A61B;C08G;C08J;C23C;A61N;C07D;C07H;C12M;A01N;B22F;C09D;H01G;B29C;B01D;B01L;B05D;C08F;C08L;G06F;C08K;C09K;C12P;G03F;C01G;G02B;H01M;C25B;D01F;C02F;G01Q;G11C;H05K;B32B;B81C;C04B;C07C;C07F;C30B;A61F; 
Nomero;237;138;108;79;78;68;58;36;34;31;29;28;24;24;24;20;20;19;19;17;17;17;17;16;15;15;15;15;14;14;13;13;13;13;12;12;12;11;11;10;10;10;10;9;9;9;9;9;9;8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;B82Y;H01L;C12N;C12Q;C01B;C07K;A61B;B01J;A61P;A01N;A61L;C07D;C07H;C08J;B01D;C08G;A61N;C23C;B05D;H01M;C08L;D01D;B29C;C09K;H01G;B01L;C01G;C08K;D01F;G02B;B22F;C08F;H01B;A61F;B32B;B82B;C02F;B81C;C07F;C09D;H01J;A61M;C07C;C12P;C25D;H05K;C30B;G06F; 
Nomero;211;126;119;85;66;56;41;35;34;32;31;24;24;24;23;23;22;21;20;20;19;19;18;18;17;16;16;14;14;14;14;14;13;13;13;12;12;12;12;11;11;11;11;10;10;10;10;10;9;9;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;B82Y;H01L;C12Q;C12N;C07K;C01B;A61L;A61P;B01J;B22F;C07H;B01D;A61B;C07D;C08K;H01M;C09K;B81C;H01F;A61N;B82B;C12M;C01G;B05D;C07F;C08F;C23C;D01D;G03F;A61F;A61M;B29C;B32B;C08L;G02B;H01B;C02F;H05K;A01N;B01L;G01J;G11C;H01G;H01J;C07C;C08J;C09D;D01F; 
Nomero;205;133;119;76;62;60;39;38;34;33;32;21;20;19;18;18;18;18;16;15;15;14;14;14;13;12;12;12;12;12;12;11;11;11;11;11;11;11;10;10;9;9;9;9;9;9;8;8;8;8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;B82Y;G01N;H01L;C12Q;A61P;C12N;C01B;A61L;B01J;C07K;C07H;C07D;A61B;B82B;C08F;H01M;B22F;C08K;C09K;H01B;B01D;C01G;A61F;B05D;B32B;C08G;A61N;C08L;C12M;A01N;B29C;C07C;G02B;H01F;C08J;D01F;C25B;G01J;H01G;H01J;A61M;B01L;C07F;C23C;G11C;H05K;B81C;C12P;G01Q; 
Nomero;182;132;119;81;49;45;40;35;29;24;22;21;19;18;18;18;16;15;15;15;15;14;13;12;12;12;12;11;11;11;10;10;10;10;10;9;9;8;8;8;8;7;7;7;7;7;7;6;6;6;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;B82Y;H01L;C01B;C12Q;A61P;C12N;B01J;B82B;C07K;C08L;C01G;A61L;B05D;C07H;C08G;C09K;A01N;H01M;B29C;B32B;C08F;C12M;A61B;A61N;B01L;C08J;D01F;B01D;B22F;B81C;C08K;H01F;C04B;C07D;G01Q;H01B;H01G;A61M;C07F;C08B;B81B;C09D;D01D;G02F;A61F;C02F;C07C;C12P; 
Nomero;129;94;92;62;34;33;32;32;26;19;18;18;17;16;15;14;14;14;13;13;12;12;12;12;10;10;10;10;10;9;9;9;9;9;8;8;8;8;8;7;7;7;6;6;6;6;5;5;5;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;B82Y;H01L;A61P;C12Q;C01B;C12N;B32B;B01J;B05D;A61L;A01N;A61N;C07H;C07K;C07D;A61B;B82B;A61F;B01D;C08F;C08G;C23C;H01M;B29C;H01B;A61M;C08L;G01J;C07C;C07F;C08B;C30B;D01F;H04L;C01G;H01J;C08J;C08K;C12M;B22F;C09K;C25B;C40B;D06M;H01G;H05B;B81C;C09D; 
Nomero;157;85;80;68;52;35;34;34;30;26;26;20;18;18;18;18;17;16;16;14;14;14;14;14;14;12;12;11;11;11;10;9;9;9;9;9;8;8;7;7;7;6;6;6;6;6;6;6;5;5;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;H01L;B32B;C12N;C01B;B82B;A61P;B05D;B01J;C12Q;B82Y;C07K;C07H;G01Q;C23C;A61L;D01F;H01M;C01G;A61B;B01D;C08F;C09D;C25D;G03F;H01B;A61F;C08G;C12M;A61N;B22F;B29C;C07D;G01R;H01F;C08L;C09K;C12P;C40B;H01J;A01N;A61M;C08K;C23F;D01D;G02B;B01F;B44C;B81C; 
Nomero;147;79;67;40;40;38;35;34;34;32;30;28;27;18;18;17;16;16;15;14;13;13;13;13;13;13;13;12;12;12;11;10;10;10;9;9;8;8;8;8;8;7;7;7;7;7;7;6;6;6;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
Codigo ICP; A61K;G01N;H01L;C01B;B82B;A61P;C12Q;C12N;B32B;C07K;B01J;B05D;C07H;A61B;C23C;C01G;C08G;C12M;C25D;H01M;A61F;A61L;C08F;C12P;A01N;C30B;A61N;B01D;B22F;B29C;B82Y;C08L;C04B;C07D;H01G;C08J;C09K;G01B;G01J;H01F;B81C;C07F;C08K;C25B;C40B;D01F;G01Q;G06F;B01F;B29D;
Nomero;100;68;56;36;34;31;30;29;28;27;26;20;18;15;15;14;11;11;11;11;10;10;10;10;9;9;8;8;8;8;8;8;7;7;7;6;6;6;6;6;5;5;5;5;5;5;5;5;4;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;H01L;C12Q;B82B;C01B;A61P;C12N;C07K;B05D;B32B;C07H;C12M;C23C;D01F;H01J;B01J;C08L;H01M;C08G;C08K;G01J;G02B;G03F;A61B;A61L;B01D;B82Y;C08F;C08J;C30B;D01D;A01N;C07D;C12P;G01Q;A61F;B01L;B29C;C09C;B81C;C22C;C25D;G06F;H01B;A61M;B22F;B23K;C01G;C09D; 
Nomero;79;67;54;39;31;31;23;23;20;15;14;13;13;13;11;11;10;10;10;9;9;9;9;9;8;8;8;8;8;8;8;8;7;7;7;7;6;6;6;6;5;5;5;5;5;4;4;4;4;4;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;H01L;A61K;C12Q;B82B;C01B;B05D;C07K;D01F;B32B;A61B;C08G;G02B;A61L;C08J;C12M;C30B;G01B;A61F;B01J;C07H;G11C;B22F;C08L;G01Q;C12N;D01D;G03F;C09K;H01F;A61P;B01D;B29C;C01G;C08F;C12P;G06F;H01M;B01L;B82Y;C08K;C25D;H01B;H01R;A01N;C07D;C07F;C09C;C09D;D02G; 
Nomero;50;43;34;22;19;18;17;16;16;15;12;11;11;10;10;10;10;10;9;9;9;9;8;8;8;7;7;7;6;6;5;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;G01N;C12Q;H01L;C12N;C01B;C07K;C12P;B32B;C12M;D01F;A61L;B05D;B82B;C07H;G01Q;H01M;B82Y;C08K;G03F;G06F;A61B;B01D;B01J;C08J;C08L;G01B;H01J;A61M;B22F;C01G;C08F;C08G;H04B;A01N;A61F;A61P;B29C;B81C;C09K;G01R;G02B;G11C;B01F;B03C;B44C;C07C;C07F;C09C;C10L; 
Nomero;44;44;27;26;20;16;16;11;10;10;10;9;9;9;9;9;8;7;7;7;7;6;6;6;6;6;6;6;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; H01L;G01N;C01B;A61K;C12Q;B82B;C12N;B05D;C07K;G01Q;B32B;C12M;C30B;G03F;B01J;G06F;H01F;C07H;D01F;G02B;A61B;G11B;B01L;B81B;C02F;C07B;C08G;C08K;C12P;C23C;G01B;B01D;B03C;B22F;B29C;C04B;C08L;C09K;D01D;D02G;D06M;H01B;H01M;H02N;H05B;A01N;A61L;A61M;A61P;B08B; 
Nomero;32;29;25;22;22;20;14;12;12;12;10;9;9;9;8;8;7;6;6;6;5;5;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;C12N;C12Q;A61K;H01L;B82B;C07K;B05D;G01Q;B32B;C07H;C01B;C30B;G03F;A61B;B01J;C12M;C12P;D01F;G11C;H01F;B01L;H01B;B81B;C04B;C07C;C08G;C08K;C09K;D01D;G03B;G11B;A24D;A61P;B23K;B29B;B29C;C03C;C07D;C22C;C23C;C25B;C25D;C40B;D06C;F21V;G01L;G06N;H01S;H03K; 
Nomero;26;21;21;19;18;15;12;11;10;9;9;8;8;8;7;6;6;5;5;5;5;4;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;H01L;B82B;G03F;C12Q;B05D;G01Q;C30B;G11C;C07K;A61K;B81B;B01J;B01L;C01B;D01F;G11B;G21K;C12N;G01R;C23C;C40B;G06N;H01F;B32B;B81C;C07C;C07H;C09B;C12M;D06M;D06P;A61F;B22F;C07B;C12P;G02B;G06F;A61B;A61L;A61N;B21F;B23K;B29C;C03C;C07D;C07F;C08H;C09D;C22C; 
Nomero;32;25;22;18;16;13;13;11;11;10;9;8;7;7;7;7;7;6;5;5;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;B82B;C01B;G11B;D01F;C12Q;A61K;G01Q;G11C;G21K;G03F;H03K;B01J;B05D;C12N;G02B;H01L;B01D;B03C;C07K;C08F;C12M;C23C;C30B;G01T;G06N;A01N;A61L;B01L;B23H;B25J;B29D;B32B;B41C;B41M;B81B;B81C;C07B;C07H;C09D;C09K;C12P;C22C;C25F;C40B;G01R;G02F;G03C;G06F;H01F; 
Nomero;16;11;11;11;10;9;8;7;7;7;6;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;C07K;C12Q;C01B;C12N;B03C;B05D;B82B;G03F;G11B;A61K;C12P;A61P;G01Q;H01L;B01J;C07B;C07F;C07H;C23C;C30B;D01F;G01R;G11C;A61L;A61N;B32B;B81C;C07D;C12M;C22C;C25D;C40B;D01H;G01B;G02B;G06N;H01F;H01J;H03K; ;;;;;;;;;;
Nomero;12;8;8;6;6;5;5;5;5;5;4;4;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; C07K;G06N;G11C;A61K;B82B;C12N;C23C;H01L;H03K;B81C;G01Q;G11B;A61P;C07H;C12Q;G01B;G01N;G01R;H01F;A61B;B05D;B81B;C09K;C12M;C22C;C40B;D01D;D01F;D02G;G03F;G06F;G06G; ;;;;;;;;;;;;;;;;;;
Nomero;7;5;5;4;4;4;4;4;4;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;B05D;C08G;C12Q;A61K;B01J;C08J;C08L;A61L;B32B;B82B;C07H;D01F;G01B;G11B;G11C;H01L;A61B;B01L;B41M;C01B;C03C;C07B;C07K;C08F;C12M;C12N;C23C;C40B;G01Q;G02B;G03F;G06N;G21K;H01B; ;;;;;;;;;;;;;;;
Nomero;6;5;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nanochemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01J;C02F;A61K;B22F;B82B;B82Y; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;A61K;A61N;B01J;B82Y;C07K;C08G;C09K;G01B;G01J;G02B;G03F;G07D;H05B; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;3;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; C09K;G01B;G01N;G02B; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B82Y;G01N;A61N;B01J;B22F;C01B;C08F;C08G;G01J;G01Q; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01N;B32B;B81C;B82Y;C23C; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61K;D06M;B22F;B82B;B82Y;C07K;C22C; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;3;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B05D;B08B;B82Y;C07K; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B82Y;B08B;A61K;B01L;B05D;B09B;B22F;B81C;C01B;C07H;D06M;G01Q; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;4;2;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B82Y;A62D;B01L;B03C;C01B;C02F;C08F;C08G;C09K;C23F;G01N;G01Q;H01L; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;4;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; G01Q;H01L;H01M; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A01N;A61K;C01B;D02G;H01L; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A01N;A61K;B01L;G01J;G01N;G01Q; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; B01L;H01J; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; C07K;B03C;G01Q; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; C01B;B01J;C01F;C22B; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP; A61F;A61K;A61L;C08F;C08G;G01N; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
